Heading,Categories,Items
Dry Fruits,Snacks,"Badam, Pista, Kaju, Walnuts"
Sprouts,Snacks,"Moong, Chana"
Sandwich,Partial Meal,"Coleslaw, PLT, Cheese tomato, COT, Paneer Bhurji, Sabji Toast"
Subway,Whole Meal,Veggie Subway
Burger,Whole Meal,Aloo tikki burger
Chila,Whole Meal,Besan Paneer Chila
Oat Pancakes,Partial Meal,Oat pancake
Eggs,Whole Meal,"Egg Bhurji, Fry Omlete, Bread Omlete, Boiled"
Milk,Beverage ,"Hot Chocolate, Bournvita"
Fruits,Snacks,Seasonal
Salad,Snacks,Seasonal
Dal / Sabji / Chawal / Pulao / Roti / Parantha,Whole Meal,All
Raita / Curd,Snacks,All
Lassi,Beverage ,
Tikka,Partial Meal,"Paneer, Chap, Broccli, Mushroom"
Snack Healthy,Snacks,"Papad/Fryum, Bhel Puri, Sev Puri, Pani Puri, Hummus & Pita & Veggies, Dhokla, Popcorn, Makhane, Corn, Mur Mure, Healthy Biscuits, Masala Oats"
Snack Unhealthy,Snacks,"Paneer Pakode, Samose, Chowmein, Chilli Potato, Garlic Bread, Macroni, Tikki, Pizza, French Fries, Bread Pakoda, Maggie, Spring Roll, Momo, Vada Pav, Biscuits, Namkeen"
Chinese Rice / Noodle + Gravy,Whole Meal,"Fried Rice / Noodles, Manchuian / Chilli Paneer / Veggie in Gravy"
Pasta + Garlic Bread,Whole Meal,"Pesto, Red Sauce, White Sauce, Aglio Olio"
Pav bhaji,Whole Meal,Pav Bhaji
Chips,Snacks,"Pita Chips, Ragi Chips, Banana Chips, Nachos"
Detox Water,Beverage ,All
Ice tea,Beverage ,"Peach, Lemon"
Coconut water,Beverage ,Coconut water
South Indian,Whole Meal,"Dosa, Uttapam"
Chole bhature,Whole Meal,Chole bhature
Aloo Puri ,Whole Meal,Aloo Puri 
Shakes + Smoothies,Partial Meal,All
Soups,Partial Meal,"Hot n Sour, Mushroom, Tomato, Clear/Mix Veggie, Manchow"
Juice,Beverage ,"Orange, Apple, Carrot"
Summer Roll,Snacks,Summer Roll
